# nd_base_threshold=32, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.2,skip
nos4,100,AMD,637,0.3,skip
nos4,100,COLAMD,778,0.6,skip
nos4,100,ND,968,96.2,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,2.0,skip
bcsstk04,132,COLAMD,3622,3.0,skip
bcsstk04,132,ND,3702,458.2,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,60.0,skip
Kuu,7102,AMD,406264,575.8,skip
Kuu,7102,COLAMD,830665,3847.3,skip
Kuu,7102,ND,924385,11649.8,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.6,skip
bcsstk14,1806,AMD,116071,126.9,skip
bcsstk14,1806,COLAMD,146037,163.4,skip
bcsstk14,1806,ND,131017,4942.7,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,34.0,skip
s3rmt3m3,5357,AMD,474609,785.0,skip
s3rmt3m3,5357,COLAMD,607647,1093.5,skip
s3rmt3m3,5357,ND,478890,11799.3,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,135.9,skip
Pres_Poisson,14822,AMD,2668793,8537.5,skip
Pres_Poisson,14822,COLAMD,3415793,13698.5,skip
Pres_Poisson,14822,ND,2541734,34104.9,skip
